Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
8/23/2018,44.7383,51.2868,457644,32.6429,44.7678,49121960,977594,0.009
8/22/2018,44.736,51.2766,489530,27.6193,44.7589,41200010,820139,0.0097
8/21/2018,44.7315,51.2664,552681,17.575,44.75,1.33E+08,2643784,0.009
8/20/2018,44.7277,51.2664,405948,17.5732,44.75,55511080,1104985,0.0097
8/17/2018,44.7167,51.2562,711873,52.7153,44.7411,31764510,632534,0.0089
8/16/2018,44.7099,51.246,383612,15.0578,44.7322,79146170,1576030,0.009
8/15/2018,44.7069,51.2511,487801,65.2405,44.7366,36018990,717264,0.0093
8/14/2018,44.7023,51.246,348950,37.6362,44.7322,21859850,435398,0.0094
8/13/2018,44.7022,51.246,306852,12.5441,44.7322,35284700,702907,0.0092
8/10/2018,44.6946,51.2358,698210,22.5794,44.7233,24647820,491097,0.009
8/9/2018,44.6863,51.2154,392582,7.5252,44.7054,18053700,359745,0.01
8/8/2018,44.6792,51.2154,163193,15.0476,44.7054,71334170,1421613,0.0097
8/7/2018,44.6739,51.2052,955812,42.628,44.6965,85124080,1696909,0.0104
8/6/2018,44.6686,51.2001,391642,0,44.6921,40979700,816923,0.0099
8/3/2018,44.6598,51.1847,517445,2.5069,44.6787,28782340,573842,0.009
8/2/2018,44.6558,51.1847,190034,17.5451,44.6787,25469260,507808,0.0095
8/1/2018,44.6472,51.1791,534700,45.1119,44.6738,23338490,465453,0.0091
7/31/2018,44.6426,51.1796,323972,0,44.6743,25854010,515610,0.0105
7/30/2018,44.6406,51.169,370797,12.5274,44.665,28297070,563361,0.0098
7/27/2018,44.63,51.1509,349382,10.0405,44.6491,22547610,448997,0.0109
7/26/2018,44.6241,51.1486,324725,17.5667,44.6472,50981050,1015185,0.0102
7/25/2018,44.6188,51.1486,536615,50.1841,44.6472,35206240,701100,0.0102
7/24/2018,44.617,51.1436,750515,15.0534,44.6427,34410850,685378,0.0089
7/23/2018,44.6116,51.1283,647133,15.0528,44.6294,25955620,517044,0.0097
7/20/2018,44.6032,51.1283,343582,27.5935,44.6294,42685220,850440,0.0101
7/19/2018,44.5986,51.1181,302031,20.0642,44.6205,15152000,301894,0.0114
7/18/2018,44.5918,51.1181,195641,20.0621,44.6205,21575450,430014,0.0096
7/17/2018,44.5861,51.1079,326378,5.0148,44.6116,23860240,475521,0.0103
7/16/2018,44.5835,51.0977,369633,2.5071,44.6027,23077140,460087,0.0095
7/13/2018,44.5722,51.0773,361910,5.0138,44.5849,14411330,287344,0.0103
7/12/2018,44.5645,51.0875,192977,30.0754,44.5938,41857340,834669,0.0092
7/11/2018,44.561,51.0875,701463,12.5292,44.5938,20095370,400713,0.0097
7/10/2018,44.5565,51.0722,377540,2.5057,44.5805,14685060,292896,0.0095
7/9/2018,44.5535,51.0671,245247,5.0108,44.576,18809880,375247,0.0091
7/6/2018,44.5462,51.0621,273663,27.5575,44.5716,12491910,249226,0.009
7/5/2018,44.5403,51.0468,181092,0,44.5583,19812610,395350,0.0099
7/3/2018,44.5343,51.0468,314037,0,44.5583,22518500,449373,0.0206
7/2/2018,44.5288,51.0468,384387,10.0166,44.5583,1.03E+08,2058347,0.0092
6/29/2018,44.5221,51.0366,344224,92.6423,44.5494,27524460,549161,0.0878
6/28/2018,44.5196,51.0204,319686,10.0139,44.5352,17285850,344453,0.0117
6/27/2018,44.518,51.0204,224689,17.5533,44.5352,53131420,1058752,0.0107
6/26/2018,44.5124,51.0102,374063,30.0904,44.5263,15055030,300048,0.0108
6/25/2018,44.5078,51.0153,319030,0,44.5307,24561840,489596,0.0137
6/22/2018,44.5004,51.0102,399238,30.0835,44.5263,26940640,537061,0.0106
6/21/2018,44.4987,51.0102,353188,5.0131,44.5263,44925350,895623,0.0096
6/20/2018,44.4973,51.0001,294475,32.5838,44.5174,14254920,284207,0.0091
6/19/2018,44.4984,51.0001,286763,10.0255,44.5174,13297540,265128,0.0089
6/18/2018,44.4955,50.9899,136118,17.545,44.5086,18453210,367975,0.0091
6/15/2018,44.4853,51.0001,282377,0,44.5174,12662420,252465,0.0109
6/14/2018,44.4804,50.9899,209067,22.5512,44.5086,30793650,614057,0.0117
6/13/2018,44.4778,50.9797,387601,7.5162,44.4997,8951771,178544,0.0104
6/12/2018,44.4783,50.9797,114016,0,44.4997,29320840,584710,0.0104
6/11/2018,44.4784,50.9899,260217,40.0847,44.5086,20290980,404704,0.0109
6/8/2018,44.471,50.9797,206966,17.5371,44.4997,58004240,1156623,0.0109
6/7/2018,44.4682,50.9899,4908003,237.964,44.5086,16991010,338937,0.0106
6/6/2018,44.4622,50.9797,201412,40.0757,44.4997,21670110,432271,0.0101
6/5/2018,44.4649,50.9848,267929,0,44.5041,14710550,293385,0.0129
6/4/2018,44.4588,50.9696,225249,5.0091,44.4908,8661954,172808,0.0098
6/1/2018,44.4542,50.9696,174942,22.5378,44.4908,19317490,385411,0.0103
5/31/2018,44.4539,50.9797,410832,0,44.4997,14127770,281822,0.018
5/30/2018,44.4565,50.9694,302098,5.0079,44.4906,12864940,256253,0.0108
5/29/2018,44.4638,50.9593,216452,0,44.4818,9463902,188433,0.017
5/25/2018,44.4408,50.9542,162367,20.0719,44.4774,8879943,176870,0.0126
5/24/2018,44.4336,50.9491,135245,0,44.4729,18332240,365209,0.0099
5/23/2018,44.4298,50.9288,192995,0,44.4552,16192270,322683,0.0147
5/22/2018,44.4221,50.9288,240569,32.5919,44.4552,22476980,447951,0.0147
5/21/2018,44.4182,50.9288,404006,0,44.4552,16496800,328867,0.0114
5/18/2018,44.4107,50.9187,107613,22.5577,44.4463,10219650,203725,0.0132
5/17/2018,44.4084,50.9085,231083,0,44.4375,13359060,266301,0.0101
5/16/2018,44.4004,50.9136,250245,0,44.4419,13483050,268799,0.0142
5/15/2018,44.3984,50.8983,203209,37.5811,44.4286,14367090,286450,0.0104
5/14/2018,44.4005,50.8882,226325,0,44.4198,17720200,353383,0.0145
5/11/2018,44.3898,50.8882,214445,7.5162,44.4198,15707130,313270,0.015
5/10/2018,44.3827,50.8983,289332,0,44.4286,27405260,546534,0.0114
5/9/2018,44.378,50.878,456165,45.0793,44.4109,14896780,297084,0.0153
5/8/2018,44.3766,50.878,290049,5.0083,44.4109,11067920,220767,0.0093
5/7/2018,44.3718,50.8577,203900,5.0081,44.3932,7695817,153578,0.0144
5/4/2018,44.361,50.8476,111833,15.0227,44.3843,6845283,136578,0.0113
5/3/2018,44.3608,50.8577,136475,0,44.3932,9172653,183042,0.0138
5/2/2018,44.355,50.8374,84065,0,44.3755,8664189,172981,0.0129
5/1/2018,44.3503,50.8374,177048,0,44.3755,11594260,231428,0.0097
4/30/2018,44.3481,50.8374,241684,10.0103,44.3755,16296310,325285,0.0365
4/27/2018,44.3412,50.8421,233469,30.0295,44.3795,17388720,346653,0.0105
