Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
TSCO,Tesco PLC,Consumer Staples,Consumer Staples Distribution and Retail,2.77,0.51%,23.98%,11.50
6367,Daikin IndustriesLtd.,Industrials,Building Products,23660.00,0.51%,5.51%,3.09
2802,Ajinomoto Co. Inc.,Consumer Staples,Food Products,5533.00,0.51%,31.62%,14.20
KPN,Koninklijke KPN N.V.,Communication Services,Diversified Telecommunication Services,3.17,0.50%,15.98%,8.10
CBA,Commonwealth Bank of Australia,Financials,Banks,103.70,0.50%,0.84%,0.49
SEBA,Skandinaviska Enskilda Banken AB (publ),Financials,Banks,124.15,0.50%,12.00%,6.26
BKG,The Berkeley Group Holdings plc,Consumer Discretionary,Household Durables,45.62,0.50%,25.96%,12.02
NN,NN Group N.V.,Financials,Insurance,31.77,0.50%,-15.32%,-10.50
2502,Asahi Group Holdings Ltd.,Consumer Staples,Beverages,5430.00,0.49%,27.47%,12.42
6981,Murata Manufacturing Co. Ltd.,Information Technology,Electronic Equipment Instruments and Components,2875.00,0.49%,15.65%,7.68
BARC,Barclays PLC,Financials,Banks,1.42,0.49%,-5.89%,-3.55
9022,Central Japan Railway Company,Industrials,Ground Transportation,3558.00,0.49%,8.34%,4.35
8801,Mitsui Fudosan Co. Ltd.,Real Estate,Real Estate Management and Development,3437.00,0.48%,28.63%,12.55
WBC,Westpac Banking Corporation,Financials,Banks,21.29,0.47%,-4.94%,-2.85
1925,Daiwa House Industry Co. Ltd.,Real Estate,Real Estate Management and Development,4200.00,0.47%,36.78%,14.74
KRX,Kingspan Group plc,Industrials,Building Products,68.88,0.47%,22.16%,9.94
GLE,Socit Gnrale Socit anonyme,Financials,Banks,22.41,0.47%,0.90%,0.49
CARLB,Carlsberg A/S,Consumer Staples,Beverages,300.00,0.47%,1.20%,0.65
GMG,Goodman Group,Real Estate,Industrial REITs,22.90,0.46%,28.22%,11.88
SIKA,Sika AG,Materials,Chemicals,235.00,0.46%,-2.66%,-1.46
RKT,Reckitt Benckiser Group plc,Consumer Staples,Household Products,54.06,0.46%,-5.49%,-3.09
0OQV,Orange S.A.,Communication Services,Diversified Telecommunication Services,11.02,0.45%,19.33%,8.49
0EYG,KBC Group NV,Financials,Banks,52.14,0.45%,6.20%,3.06
WKL,Wolters Kluwer N.V.,Industrials,Professional Services,123.35,0.45%,20.67%,8.88
7269,Suzuki Motor Corporation,Consumer Discretionary,Automobiles,5973.00,0.44%,20.46%,8.69
8795,T&D Holdings Inc.,Financials,Insurance,2293.00,0.43%,52.18%,17.13
8591,ORIX Corporation,Financials,Financial Services,2677.00,0.40%,27.32%,10.03
4324,Dentsu Group Inc.,Communication Services,Media,3967.00,0.40%,-7.52%,-3.75
388,Hong Kong Exchanges and Clearing Limited,Financials,Capital Markets,290.20,0.39%,1.96%,0.88
RIO,Rio Tinto Group,Materials,Metals and Mining,55.32,0.39%,11.44%,4.61
PRX,Prosus N.V.,Consumer Discretionary,Broadline Retail,30.11,0.38%,13.18%,5.12
4768,Otsuka Corporation,Information Technology,IT Services,6034.00,0.37%,32.74%,10.67
SGSN,SGS SA,Industrials,Professional Services,73.54,0.37%,-15.04%,-7.54
UBSG,UBS Group AG,Financials,Capital Markets,22.96,0.36%,34.82%,10.88
8306,Mitsubishi UFJ Financial Group Inc.,Financials,Banks,1255.00,0.35%,76.69%,17.89
FBK,FinecoBank Banca Fineco S.p.A.,Financials,Banks,12.12,0.34%,-15.47%,-7.23
WOW,Woolworths Group Limited,Consumer Staples,Consumer Staples Distribution and Retail,34.50,0.34%,1.74%,0.67
BATS,British American Tobacco p.l.c.,Consumer Staples,Tobacco,25.27,0.34%,-18.24%,-8.76
