Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
CTAS,Cintas Corporation,Industrials,Commercial Services and Supplies,536.27,0.42%,22.38%,8.73
MAR,Marriott International Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,197.71,0.42%,21.99%,8.55
CPRT,Copart Inc.,Industrials,Commercial Services and Supplies,48.34,0.40%,57.05%,16.74
EOG,EOG Resources Inc.,Energy,Oil Gas and Consumable Fuels,123.06,0.40%,-12.32%,-6.46
ADSK,Autodesk Inc.,Information Technology,Software,210.10,0.40%,-8.17%,-4.05
ROST,Ross Stores Inc.,Consumer Discretionary,Specialty Retail,122.36,0.39%,28.75%,10.01
EA,Electronic Arts Inc.,Communication Services,Entertainment,132.68,0.39%,1.74%,0.76
MCHP,Microchip Technology Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,76.62,0.38%,2.95%,1.24
KMB,Kimberly-Clark Corporation,Consumer Staples,Household Products,121.22,0.38%,-1.38%,-0.60
IT,Gartner Inc.,Information Technology,IT Services,414.50,0.37%,23.64%,8.09
PAYX,Paychex Inc.,Industrials,Professional Services,114.48,0.36%,-2.51%,-1.06
ACGL,Arch Capital Group Ltd.,Financials,Insurance,86.57,0.36%,52.49%,14.03
RSG,Republic Services Inc.,Industrials,Commercial Services and Supplies,158.40,0.36%,22.62%,7.49
PSA,Public Storage,Real Estate,Specialized REITs,246.33,0.35%,-13.28%,-6.17
VRSK,Verisk Analytics Inc.,Industrials,Professional Services,238.51,0.35%,34.67%,10.36
ABNB,Airbnb Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,119.15,0.35%,8.74%,3.22
GWW,W.W. Grainger Inc.,Industrials,Trading Companies and Distributors,789.66,0.35%,36.04%,10.52
VMW,VMware Inc.,Information Technology,Software,149.23,0.35%,28.68%,8.78
TRV,The Travelers Companies Inc.,Financials,Insurance,171.00,0.34%,-3.80%,-1.54
CTSH,Cognizant Technology Solutions Corporation,Information Technology,IT Services,65.68,0.34%,14.44%,4.87
ICE,Intercontinental Exchange Inc.,Financials,Capital Markets,108.66,0.34%,5.77%,2.10
YUM,Yum! Brands Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,125.31,0.33%,3.50%,1.28
FTNT,Fortinet Inc.,Information Technology,Software,50.30,0.32%,-10.39%,-4.24
DECK,Deckers Outdoor Corporation,Consumer Discretionary,Textiles Apparel and Luxury Goods,628.42,0.32%,82.11%,16.29
IDXX,IDEXX Laboratories Inc.,Health Care,Health Care Equipment and Supplies,432.39,0.31%,-2.01%,-0.73
APH,Amphenol Corporation,Information Technology,Electronic Equipment Instruments and Components,86.37,0.31%,10.03%,3.24
CRWD,CrowdStrike Holdings Inc.,Information Technology,Software,200.96,0.30%,40.41%,9.89
MMM,3M Company,Industrials,Industrial Conglomerates,92.69,0.30%,-26.38%,-12.30
ED,Consolidated Edison Inc.,Utilities,Multi-Utilities,88.37,0.30%,3.64%,1.18
EW,Edwards Lifesciences Corporation,Health Care,Health Care Equipment and Supplies,64.60,0.29%,-13.46%,-5.22
AKAM,Akamai Technologies Inc.,Information Technology,IT Services,110.98,0.29%,18.89%,5.29
VRSN,VeriSign Inc.,Information Technology,IT Services,208.12,0.29%,8.18%,2.51
TEAM,Atlassian Corporation,Information Technology,Software,175.04,0.29%,22.95%,6.20
BR,Broadridge Financial Solutions Inc.,Industrials,Professional Services,177.80,0.29%,29.47%,7.44
CTRA,Coterra Energy Inc.,Energy,Oil Gas and Consumable Fuels,26.99,0.28%,1.01%,0.33
PXD,Pioneer Natural Resources Company,Energy,Oil Gas and Consumable Fuels,235.99,0.28%,-0.54%,-0.18
EXPD,Expeditors International of Washington Inc.,Industrials,Air Freight and Logistics,113.87,0.28%,2.97%,0.93
FDS,FactSet Research Systems Inc.,Financials,Capital Markets,453.46,0.28%,8.61%,2.55
AMP,Ameriprise Financial Inc.,Financials,Capital Markets,335.13,0.28%,2.86%,0.89
MANH,Manhattan Associates Inc.,Information Technology,Software,214.02,0.28%,72.54%,13.34
